wallet_address,contract_address,target_address,contract_method,risk_level
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xBB30ec4B3a20A26Bb23c542e6983E94AC37496Ca,__transfer,1
0xb4aD833d6f3b3C4426FEa59deD207A952087F47C,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x2dCaf47e340b3a5C0f1779111697C39696E3Dc21,__transfer,79
0x357931791284f40765b462aa7AD217ebF82920Cb,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xb4aD833d6f3b3C4426FEa59deD207A952087F47C,__transfer,1
0xFd1B8D2B036F7c78A794be2c6F9bA4dE698459e8,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x357931791284f40765b462aa7AD217ebF82920Cb,__transfer,304
0xC310e760778ECBca4C65B6C559874757A4c4Ece0,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xFd1B8D2B036F7c78A794be2c6F9bA4dE698459e8,__transfer,1
0xFd1B8D2B036F7c78A794be2c6F9bA4dE698459e8,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xC310e760778ECBca4C65B6C559874757A4c4Ece0,__transfer,1
0x4c6b83Ca1c59781faB57790a46281bbd93E539FE,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xFd1B8D2B036F7c78A794be2c6F9bA4dE698459e8,__transfer,1245
0xf0FC2f35DABB294Ce51E5be211D19c6de6Cb44ae,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x4c6b83Ca1c59781faB57790a46281bbd93E539FE,__transfer,339
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xf0FC2f35DABB294Ce51E5be211D19c6de6Cb44ae,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xF360eDdE144359f2596Ebd2bfaAf9afF5755B71f,__transfer,14
0x6B92686c40747C85809a6772D0eda8e22a77C60c,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xC883A79E8e4594C4f89434EDb754a10Da2311139,__transfer,1369
0x1d3a44F4ac3A7f603C58C0d8E4a4749Ea1757AF8,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x6B92686c40747C85809a6772D0eda8e22a77C60c,__transfer,66
0xD33BC4Ab17AD58626fa74A8286D610EA16E731d8,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x1d3a44F4ac3A7f603C58C0d8E4a4749Ea1757AF8,__transfer,2
0x1d3a44F4ac3A7f603C58C0d8E4a4749Ea1757AF8,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xD33BC4Ab17AD58626fa74A8286D610EA16E731d8,__transfer,2
0xD33BC4Ab17AD58626fa74A8286D610EA16E731d8,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x1d3a44F4ac3A7f603C58C0d8E4a4749Ea1757AF8,__transfer,1
0x1d3a44F4ac3A7f603C58C0d8E4a4749Ea1757AF8,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xD33BC4Ab17AD58626fa74A8286D610EA16E731d8,__transfer,2
0x893a3701952f0ee5782d9E8b7b08f375A7e1CFfB,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x1d3a44F4ac3A7f603C58C0d8E4a4749Ea1757AF8,__transfer,2
0x9eE5E3Ff06425CF972E77c195F70Ecb18aC23d7f,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x893a3701952f0ee5782d9E8b7b08f375A7e1CFfB,__transfer,721
0xb905576A1D9Bff3b7F3A69764913037ea18F01dA,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x9eE5E3Ff06425CF972E77c195F70Ecb18aC23d7f,__transfer,405
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xb905576A1D9Bff3b7F3A69764913037ea18F01dA,__transfer,2
0x22F14eB500b13664b53EAd6aAfF32eA718E0531a,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xFF247e8bE15b932F6a39cAB18F39952F52c89664,__transfer,76
0x7F5E0A9C0B36f80EffAB0586CAFe8EE7BA25e5Df,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x22F14eB500b13664b53EAd6aAfF32eA718E0531a,__transfer,30
0x3c8B0b7B739aE06f27324A3880B6f7d30f4CC57A,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x7F5E0A9C0B36f80EffAB0586CAFe8EE7BA25e5Df,__transfer,48
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x3c8B0b7B739aE06f27324A3880B6f7d30f4CC57A,__transfer,1
